Date,Open,High,Low,Close,Adj Close,Volume
11/12/2012,20.450001,20.75,20.295,20.67,18.587736,1435800
11/13/2012,20.59,21.24,20.495001,20.66,18.578747,1856400
11/14/2012,20.705,20.965,20.209999,20.26,18.21903,1863800
11/15/2012,20.25,20.75,20.035,20.440001,18.380901,1922000
11/16/2012,20.375,20.389999,19.780001,20.360001,18.308964,1988000
11/19/2012,20.445,20.77,20.445,20.764999,18.673162,1756400
11/20/2012,20.715,20.945,20.545,20.91,18.803551,1662000
11/21/2012,20.9,20.93,20.700001,20.905001,18.799059,818800
11/23/2012,21,21.264999,20.84,21.245001,19.104807,636800
11/26/2012,21.245001,21.360001,20.719999,21.24,19.100311,1164000
11/27/2012,21.16,21.375,21.094999,21.135,19.005888,1012200
11/28/2012,21.135,21.285,20.9,21.280001,19.136286,1643400
11/29/2012,21.389999,21.4,21.115,21.305,19.158764,959600
11/30/2012,21.309999,21.535,21.135,21.375,19.221708,3951400
12/3/2012,21.440001,21.49,21.105,21.25,19.109303,1196400
12/4/2012,21.305,21.495001,21.025,21.295,19.149771,1263200
12/5/2012,21.325001,21.455,21.17,21.235001,19.095818,1409200
12/6/2012,21.225,21.42,21.135,21.26,19.118298,1186200
12/7/2012,21.375,21.445,21.08,21.25,19.109303,1364000
12/10/2012,21.219999,21.4,21.055,21.275,19.131784,1109400
12/11/2012,21.379999,21.834999,21.225,21.715,19.527456,1160400
12/12/2012,21.695,21.915001,21.52,21.559999,19.388075,828800
12/13/2012,21.525,21.934999,21.525,21.67,19.486992,761200
12/14/2012,21.605,21.805,21.344999,21.58,19.406055,1152800
12/17/2012,21.700001,22.120001,21.68,21.99,19.774754,1264400
12/18/2012,22.02,22.209999,21.92,22.184999,19.950111,1741800
12/19/2012,22.16,22.575001,22.155001,22.4,20.143456,1552000
12/20/2012,22.434999,22.52,22.174999,22.459999,20.197411,1093800
12/21/2012,22.309999,22.325001,22.045,22.209999,19.972589,2223600
12/24/2012,22.165001,22.245001,21.965,22.075001,19.851192,380800
12/26/2012,22.055,22.17,21.67,21.74,19.549944,1166800
12/27/2012,21.73,21.870001,21.459999,21.629999,19.451027,878200
12/28/2012,21.59,21.625,21.315001,21.365,19.212719,1180000
12/31/2012,21.415001,21.635,21.315001,21.545,19.37459,1383200
1/2/2013,22.014999,22.110001,21.799999,21.969999,19.756771,2173400
1/3/2013,22.014999,22.41,21.66,22.379999,20.125471,2602600
1/4/2013,22.375,22.75,22.344999,22.690001,20.40424,1215000
1/7/2013,22.68,23.445,22.68,23.174999,20.840378,2080200
1/8/2013,23.145,23.555,22.955,23,20.683008,1748000
1/9/2013,23.08,23.245001,23.030001,23.155001,20.822397,1069200
1/10/2013,23.254999,23.370001,22.969999,22.985001,20.669523,1035200
1/11/2013,23.084999,23.43,23,23.42,21.060698,1421200
1/14/2013,23.424999,23.469999,23.084999,23.215,20.876354,1008800
1/15/2013,23.225,23.49,22.905001,23.35,20.997747,860800
1/16/2013,23.355,23.57,23.200001,23.49,21.12365,1060200
1/17/2013,23.620001,23.684999,23.395,23.52,21.150627,1293800
1/18/2013,23.48,23.52,23.174999,23.32,20.970772,1258800
1/22/2013,23.389999,23.705,23.195,23.59,21.213575,1733800
1/23/2013,23.705,23.705,23.219999,23.325001,20.975271,1288800
1/24/2013,23.375,23.915001,22.855,23.195,20.858372,1729800
1/25/2013,23.190001,23.450001,22.725,23.305,20.957289,1888200
1/28/2013,23.385,23.76,23.27,23.535,21.16411,1687400
1/29/2013,23.344999,23.495001,22.975,23.18,20.844881,1312600
1/30/2013,23.18,23.285,22.940001,23.030001,20.70999,862800
1/31/2013,23.065001,23.25,22.91,23.065001,20.741463,970800
2/1/2013,23.155001,23.555,23.135,23.285,20.939299,1484800
2/4/2013,23.055,23.34,22.885,23.254999,20.912321,1285400
2/5/2013,23.325001,23.715,23.26,23.43,21.069693,952600
2/6/2013,23.290001,23.790001,23.290001,23.709999,21.321486,970000
2/7/2013,23.594999,24.01,23.555,23.9,21.492348,1174400
2/8/2013,23.995001,24.434999,23.940001,24.334999,21.883526,1012600
2/11/2013,24.41,24.605,24.120001,24.4,21.941978,1125000
2/12/2013,24.405001,24.559999,24.27,24.43,21.968958,1280200
2/13/2013,24.440001,24.76,24.385,24.76,22.265707,1146800
2/14/2013,24.665001,24.68,24.15,24.355,21.901512,1206000
2/15/2013,24.465,24.885,24.440001,24.49,22.022909,1269800
2/19/2013,24.459999,25.16,24.32,25.15,22.616423,1416200
2/20/2013,25.105,25.334999,24.58,24.625,22.14431,1034200
2/21/2013,24.805,24.975,24.57,24.82,22.319664,1192400
2/22/2013,24.965,25.405001,24.9,25.4,22.841242,1261000
2/25/2013,25.475,25.76,24.754999,24.775,22.279198,1452200
2/26/2013,24.93,25.1,24.549999,24.995001,22.477037,1853400
2/27/2013,24.92,25.895,24.92,25.719999,23.129005,1560600
2/28/2013,25.75,25.98,25.645,25.775,23.178457,1862400
3/1/2013,25.68,26.360001,25.655001,26.200001,23.560644,1695000
3/4/2013,26.26,27.309999,26.045,27.264999,24.518358,2497400
3/5/2013,27.395,28.120001,27.295,27.924999,25.111872,2583800
3/6/2013,28.084999,28.27,27.639999,27.84,25.035431,1924400
3/7/2013,27.9,28.025,27.665001,28.014999,25.19281,1024800
3/8/2013,28.299999,28.780001,28.215,28.75,25.853762,1817600
3/11/2013,28.559999,28.725,28.385,28.555,25.678406,1198000
3/12/2013,28.49,28.709999,28.370001,28.514999,25.642437,1227800
3/13/2013,28.715,29.940001,28.715,29.73,26.735043,2302400
3/14/2013,29.754999,29.879999,29.5,29.775,26.775507,1690000
3/15/2013,29.764999,29.875,29.42,29.620001,26.636118,1885200
3/18/2013,29.415001,30.395,29.059999,30.290001,27.238626,1182600
3/19/2013,30.424999,30.815001,30.025,30.459999,27.3915,1299200
3/20/2013,30.674999,31.530001,30.469999,31.5,28.326735,1905800
3/21/2013,31.355,31.639999,30.725,30.924999,27.809652,1223800
